Cost 9292
Edges 92
E 501 3
E 501 30
E 501 76
E 501 116
E 502 18
E 502 239
E 503 395
E 504 116
E 504 271
E 504 395
E 504 445
E 505 13
E 505 18
E 505 67
E 505 364
E 506 5
E 506 19
E 506 76
E 506 156
E 507 20
E 507 23
E 507 89
E 507 156
E 507 182
E 508 16
E 508 445
E 509 271
E 509 364
E 510 146
E 510 302
E 511 302
E 512 97
E 512 123
E 512 182
E 513 89
E 513 146
E 514 11
E 514 41
E 514 67
E 515 41
E 516 2
E 516 102
E 516 123
E 517 8
E 517 12
E 517 17
E 517 19
E 517 100
E 517 115
E 518 102
E 519 8
E 519 14
E 520 13
E 521 11
E 521 36
E 522 18
E 523 149
E 524 13
E 524 122
E 524 149
E 525 47
E 525 115
E 525 245
E 526 23
E 527 16
E 528 8
E 529 36
E 529 85
E 530 47
E 530 181
E 531 245
E 532 103
E 533 239
E 534 85
E 535 122
E 536 181
E 537 13
E 538 3
E 539 12
E 540 100
E 540 103
E 541 14
E 541 91
E 542 41
E 543 5
E 544 11
E 545 20
E 546 30
E 547 17
E 548 2
E 549 91
E 550 97
