Cost 249
Edges 173
E 2 1
E 4 1
E 5 2
E 6 4
E 7 1
E 8 2
E 9 6
E 10 1
E 11 2
E 12 10
E 13 4
E 15 6
E 16 7
E 18 9
E 19 1
E 20 2
E 21 12
E 22 4
E 23 5
E 24 6
E 25 7
E 26 8
E 27 9
E 28 1
E 31 4
E 32 5
E 33 6
E 34 7
E 35 8
E 36 9
E 38 11
E 39 12
E 40 13
E 41 32
E 42 15
E 44 35
E 46 19
E 47 20
E 49 22
E 50 23
E 51 24
E 53 26
E 54 27
E 55 1
E 56 2
E 58 4
E 60 6
E 63 9
E 65 11
E 66 12
E 67 13
E 68 41
E 70 16
E 71 44
E 72 18
E 75 21
E 76 22
E 77 23
E 79 25
E 80 26
E 82 1
E 83 2
E 84 82
E 86 5
E 89 8
E 93 12
E 94 13
E 107 26
E 125 44
E 127 46
E 132 51
E 144 63
E 148 67
E 151 70
E 152 71
E 156 75
E 157 76
E 158 77
E 168 6
E 170 8
E 177 15
E 186 24
E 188 26
E 196 34
E 197 35
E 198 36
E 201 39
E 202 40
E 218 56
E 230 68
E 237 75
E 241 79
E 253 10
E 271 28
E 285 42
E 352 271
E 496 10
E 3 1
E 14 5
E 17 8
E 30 28
E 43 16
E 62 8
E 73 19
E 78 24
E 101 20
E 106 25
E 108 27
E 109 28
E 111 84
E 112 31
E 114 33
E 123 42
E 143 89
E 146 65
E 165 84
E 166 4
E 172 10
E 209 47
E 212 50
E 215 53
E 220 58
E 234 72
E 261 18
E 264 21
E 265 22
E 281 38
E 292 49
E 298 55
E 303 60
E 323 80
E 326 83
E 329 86
E 332 89
E 350 107
E 366 285
E 370 127
E 375 132
E 394 151
E 399 156
E 400 157
E 415 253
E 431 188
E 439 196
E 440 197
E 441 198
E 473 230
E 480 237
E 493 7
E 506 20
E 518 32
E 526 40
E 540 54
E 552 66
E 553 67
E 579 93
E 580 94
E 595 352
E 611 125
E 613 127
E 630 144
E 634 148
E 638 152
E 644 158
E 654 168
E 656 170
E 658 496
E 663 177
E 672 186
E 687 201
E 688 202
E 704 218
E 727 241
