Cost 95
Edges 95
E 1 33
E 1 17
E 1 9
E 1 5
E 1 3
E 1 2
E 2 66
E 2 34
E 2 18
E 2 10
E 2 6
E 2 4
E 3 67
E 3 35
E 3 19
E 3 11
E 3 7
E 4 36
E 4 20
E 4 12
E 4 8
E 5 69
E 5 37
E 5 21
E 5 13
E 6 38
E 6 22
E 6 14
E 7 39
E 7 23
E 7 15
E 8 72
E 8 40
E 8 24
E 8 16
E 9 73
E 9 41
E 9 25
E 10 42
E 10 26
E 11 43
E 11 27
E 12 76
E 12 44
E 12 28
E 13 45
E 13 29
E 14 78
E 14 46
E 14 30
E 15 79
E 15 47
E 15 31
E 16 48
E 16 32
E 17 81
E 17 49
E 18 50
E 19 51
E 20 84
E 20 52
E 21 53
E 22 86
E 22 54
E 23 87
E 23 55
E 24 56
E 25 57
E 26 90
E 26 58
E 27 91
E 27 59
E 28 60
E 29 93
E 29 61
E 30 62
E 31 63
E 32 96
E 32 64
E 33 97
E 36 100
E 38 102
E 39 103
E 42 106
E 43 107
E 45 109
E 48 112
E 50 114
E 51 115
E 53 117
E 56 120
E 57 121
E 60 124
E 62 126
E 63 127
